"","year","age","maritl","race","education","health","wage_status"
"56",2004,22,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"57",2006,59,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"58",2003,28,"1. Never Married","3. Asian","4. College Grad","2. >=Very Good",1
"59",2004,61,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"60",2003,34,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"61",2005,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"62",2006,54,"2. Married","1. White","3. Some College","2. >=Very Good",1
"63",2005,69,"2. Married","1. White","2. HS Grad","1. <=Good",0
"64",2004,41,"2. Married","1. White","3. Some College","1. <=Good",0
"65",2003,48,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"66",2003,49,"2. Married","1. White","3. Some College","2. >=Very Good",1
"67",2009,42,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"68",2003,37,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"69",2004,55,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",0
"70",2008,21,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"71",2004,58,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"72",2006,31,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"73",2006,25,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"74",2006,32,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"75",2009,40,"1. Never Married","2. Black","1. < HS Grad","2. >=Very Good",0
"76",2003,44,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"77",2003,60,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"78",2006,23,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"79",2003,63,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"80",2008,44,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"81",2005,47,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",1
"82",2004,61,"2. Married","1. White","3. Some College","2. >=Very Good",1
"83",2009,55,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"84",2003,24,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"85",2007,42,"3. Widowed","1. White","2. HS Grad","2. >=Very Good",0
"86",2006,25,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"87",2004,34,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"88",2009,53,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"89",2009,53,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"90",2009,70,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",1
"91",2004,47,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"92",2003,46,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"93",2003,33,"4. Divorced","1. White","1. < HS Grad","1. <=Good",0
"94",2005,34,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"95",2006,22,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"96",2009,74,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"97",2003,40,"2. Married","2. Black","3. Some College","1. <=Good",0
"98",2006,45,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"99",2009,43,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"100",2005,33,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"101",2009,62,"2. Married","2. Black","4. College Grad","2. >=Very Good",1
"102",2008,37,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"103",2004,54,"2. Married","1. White","2. HS Grad","1. <=Good",1
"104",2005,34,"2. Married","1. White","3. Some College","2. >=Very Good",0
"105",2008,50,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"106",2006,46,"4. Divorced","1. White","3. Some College","1. <=Good",0
"107",2007,41,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"108",2003,63,"4. Divorced","2. Black","3. Some College","1. <=Good",0
"109",2007,38,"2. Married","1. White","3. Some College","1. <=Good",1
"110",2006,35,"2. Married","1. White","3. Some College","2. >=Very Good",1
"111",2009,29,"2. Married","1. White","4. College Grad","1. <=Good",1
"112",2008,66,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"113",2004,37,"2. Married","1. White","2. HS Grad","1. <=Good",0
"114",2006,39,"2. Married","2. Black","2. HS Grad","2. >=Very Good",1
"115",2003,42,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"116",2007,51,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"117",2009,55,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",1
"118",2006,51,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"119",2008,38,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"120",2005,49,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"121",2006,42,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"122",2009,43,"5. Separated","1. White","1. < HS Grad","1. <=Good",0
"123",2006,38,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"124",2008,59,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",1
"125",2009,57,"2. Married","1. White","3. Some College","1. <=Good",0
"126",2005,25,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"127",2004,49,"2. Married","1. White","4. College Grad","1. <=Good",1
"128",2004,41,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"129",2009,38,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"130",2003,61,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"131",2007,49,"4. Divorced","1. White","2. HS Grad","1. <=Good",1
"132",2008,52,"4. Divorced","1. White","5. Advanced Degree","2. >=Very Good",1
"133",2007,43,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"134",2008,60,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"135",2005,46,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"136",2004,21,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"137",2009,61,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"138",2007,32,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"139",2004,58,"2. Married","1. White","2. HS Grad","1. <=Good",0
"140",2003,35,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"141",2004,26,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"142",2006,32,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"143",2003,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"144",2007,22,"1. Never Married","3. Asian","2. HS Grad","1. <=Good",0
"145",2005,51,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"146",2004,44,"4. Divorced","1. White","5. Advanced Degree","1. <=Good",1
"147",2005,35,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"148",2004,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"149",2007,40,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"150",2004,35,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"151",2007,35,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"152",2008,47,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"153",2003,43,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"154",2003,33,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"155",2003,60,"4. Divorced","1. White","5. Advanced Degree","2. >=Very Good",1
"156",2008,38,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"157",2005,53,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"158",2004,55,"2. Married","1. White","3. Some College","2. >=Very Good",1
"159",2003,57,"2. Married","2. Black","2. HS Grad","1. <=Good",1
"160",2005,64,"2. Married","1. White","4. College Grad","1. <=Good",0
"161",2007,43,"2. Married","1. White","2. HS Grad","1. <=Good",1
"162",2008,35,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"163",2008,54,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"164",2007,45,"2. Married","1. White","2. HS Grad","1. <=Good",0
"165",2003,58,"4. Divorced","3. Asian","4. College Grad","2. >=Very Good",1
"166",2007,48,"2. Married","1. White","4. College Grad","1. <=Good",1
"167",2003,46,"2. Married","3. Asian","1. < HS Grad","2. >=Very Good",0
"168",2004,46,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"169",2009,55,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"170",2006,51,"2. Married","1. White","3. Some College","2. >=Very Good",1
"171",2005,49,"2. Married","1. White","3. Some College","2. >=Very Good",0
"172",2008,34,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"173",2007,53,"2. Married","1. White","3. Some College","2. >=Very Good",1
"174",2004,40,"2. Married","1. White","3. Some College","2. >=Very Good",1
"175",2009,50,"2. Married","1. White","3. Some College","2. >=Very Good",1
"176",2006,37,"4. Divorced","1. White","1. < HS Grad","1. <=Good",0
"177",2003,39,"2. Married","1. White","3. Some College","2. >=Very Good",1
"178",2004,52,"2. Married","1. White","4. College Grad","1. <=Good",0
"179",2003,50,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"180",2006,48,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"181",2006,47,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"182",2005,27,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"183",2006,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"184",2009,44,"2. Married","2. Black","2. HS Grad","1. <=Good",1
"185",2003,37,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"186",2006,52,"2. Married","1. White","2. HS Grad","1. <=Good",1
"187",2004,26,"1. Never Married","3. Asian","3. Some College","2. >=Very Good",0
"188",2008,39,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",0
"189",2006,25,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"190",2005,31,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"191",2004,58,"2. Married","1. White","3. Some College","1. <=Good",1
"192",2005,30,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"193",2004,27,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"194",2003,40,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"195",2006,55,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"196",2009,35,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"197",2008,48,"2. Married","1. White","2. HS Grad","1. <=Good",1
"198",2006,29,"1. Never Married","3. Asian","4. College Grad","1. <=Good",1
"199",2005,25,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"200",2004,40,"2. Married","1. White","3. Some College","2. >=Very Good",1
"201",2006,27,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"202",2006,44,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"203",2006,49,"2. Married","1. White","3. Some College","2. >=Very Good",1
"204",2003,22,"1. Never Married","1. White","3. Some College","1. <=Good",0
"205",2007,45,"2. Married","1. White","3. Some College","1. <=Good",1
"206",2007,33,"2. Married","1. White","3. Some College","2. >=Very Good",0
"207",2007,63,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"208",2006,49,"1. Never Married","2. Black","4. College Grad","2. >=Very Good",1
"209",2005,39,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"210",2007,25,"1. Never Married","4. Other","1. < HS Grad","1. <=Good",0
"211",2005,29,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"212",2006,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"213",2008,35,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"214",2009,46,"2. Married","1. White","2. HS Grad","1. <=Good",1
"215",2008,58,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"216",2003,39,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"217",2008,41,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"218",2008,29,"2. Married","2. Black","4. College Grad","2. >=Very Good",0
"219",2009,37,"2. Married","1. White","4. College Grad","1. <=Good",1
"220",2009,62,"2. Married","1. White","2. HS Grad","1. <=Good",0
"221",2008,27,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"222",2003,37,"2. Married","1. White","2. HS Grad","1. <=Good",0
"223",2006,56,"5. Separated","3. Asian","4. College Grad","1. <=Good",0
"224",2004,36,"2. Married","1. White","3. Some College","2. >=Very Good",1
"225",2005,23,"1. Never Married","4. Other","2. HS Grad","2. >=Very Good",0
"226",2003,46,"2. Married","1. White","3. Some College","2. >=Very Good",0
"227",2009,26,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"228",2006,43,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"229",2007,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"230",2003,54,"5. Separated","1. White","3. Some College","1. <=Good",0
"231",2003,62,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"232",2006,40,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"233",2006,53,"2. Married","1. White","3. Some College","2. >=Very Good",1
"234",2007,48,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"235",2004,23,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"236",2009,34,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"237",2004,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"238",2006,55,"2. Married","1. White","2. HS Grad","1. <=Good",0
"239",2007,59,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"240",2007,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"241",2009,49,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"242",2006,45,"2. Married","3. Asian","3. Some College","2. >=Very Good",1
"243",2006,31,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"244",2004,34,"1. Never Married","1. White","4. College Grad","1. <=Good",1
"245",2005,26,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"246",2007,22,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"247",2004,40,"2. Married","1. White","2. HS Grad","1. <=Good",0
"248",2009,41,"2. Married","1. White","3. Some College","2. >=Very Good",1
"249",2006,36,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"250",2007,38,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"251",2003,48,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"252",2006,47,"2. Married","1. White","3. Some College","2. >=Very Good",1
"253",2005,47,"5. Separated","1. White","1. < HS Grad","1. <=Good",0
"254",2007,35,"2. Married","1. White","4. College Grad","1. <=Good",1
"255",2008,49,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",0
"256",2004,40,"2. Married","1. White","3. Some College","2. >=Very Good",1
"257",2004,32,"3. Widowed","3. Asian","4. College Grad","2. >=Very Good",1
"258",2008,57,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"259",2008,56,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"260",2009,73,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"261",2007,29,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"262",2003,49,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"263",2009,30,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"264",2008,29,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"265",2004,36,"2. Married","1. White","3. Some College","2. >=Very Good",0
"266",2009,39,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"267",2007,48,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"268",2006,45,"2. Married","2. Black","4. College Grad","2. >=Very Good",0
"269",2004,50,"2. Married","1. White","4. College Grad","1. <=Good",0
"270",2003,42,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"271",2007,58,"2. Married","1. White","3. Some College","1. <=Good",1
"272",2007,48,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"273",2003,48,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"274",2005,45,"2. Married","1. White","3. Some College","2. >=Very Good",1
"275",2007,41,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"276",2008,27,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"277",2004,44,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"278",2003,32,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"279",2006,46,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"280",2005,52,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"281",2003,22,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"282",2004,53,"3. Widowed","1. White","2. HS Grad","2. >=Very Good",1
"283",2008,34,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"284",2009,38,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"285",2009,42,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"286",2005,25,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"287",2004,29,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"288",2005,28,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"289",2005,46,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"290",2007,55,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"291",2004,56,"2. Married","1. White","2. HS Grad","1. <=Good",1
"292",2005,41,"4. Divorced","2. Black","2. HS Grad","1. <=Good",1
"293",2009,61,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"294",2003,47,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"295",2006,52,"2. Married","1. White","3. Some College","2. >=Very Good",0
"296",2004,27,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"297",2007,33,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"298",2003,58,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"299",2005,27,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"300",2009,52,"5. Separated","2. Black","2. HS Grad","2. >=Very Good",0
"301",2003,45,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"302",2003,22,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"303",2005,25,"1. Never Married","1. White","3. Some College","1. <=Good",0
"304",2004,25,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"305",2005,41,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",1
"306",2006,54,"5. Separated","1. White","4. College Grad","2. >=Very Good",1
"307",2007,23,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"308",2006,36,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",0
"309",2004,31,"5. Separated","1. White","3. Some College","1. <=Good",0
"310",2006,52,"2. Married","1. White","2. HS Grad","1. <=Good",0
"311",2007,46,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"312",2007,45,"2. Married","1. White","2. HS Grad","1. <=Good",1
"313",2009,40,"2. Married","1. White","2. HS Grad","1. <=Good",0
"314",2004,33,"1. Never Married","3. Asian","4. College Grad","2. >=Very Good",0
"315",2007,42,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"316",2007,41,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"317",2007,25,"1. Never Married","4. Other","2. HS Grad","2. >=Very Good",0
"318",2005,24,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"319",2006,24,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"320",2008,51,"2. Married","1. White","2. HS Grad","1. <=Good",0
"321",2004,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"322",2009,42,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"323",2005,30,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"324",2009,55,"2. Married","3. Asian","1. < HS Grad","2. >=Very Good",0
"325",2008,23,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"326",2003,60,"4. Divorced","1. White","4. College Grad","2. >=Very Good",0
"327",2003,40,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"328",2008,41,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"329",2003,80,"2. Married","1. White","2. HS Grad","1. <=Good",0
"330",2005,53,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"331",2004,40,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"332",2009,35,"2. Married","1. White","3. Some College","1. <=Good",1
"333",2009,55,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"334",2008,24,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"335",2007,39,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"336",2003,30,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"337",2005,68,"2. Married","1. White","2. HS Grad","1. <=Good",0
"338",2004,54,"2. Married","2. Black","2. HS Grad","1. <=Good",1
"339",2008,27,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"340",2005,34,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"341",2004,53,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"342",2004,48,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",0
"343",2005,59,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"344",2004,30,"2. Married","1. White","3. Some College","2. >=Very Good",1
"345",2007,45,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"346",2007,39,"2. Married","4. Other","4. College Grad","1. <=Good",1
"347",2008,45,"2. Married","3. Asian","4. College Grad","1. <=Good",0
"348",2007,43,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"349",2003,30,"1. Never Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"350",2005,57,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"351",2004,53,"2. Married","1. White","4. College Grad","1. <=Good",1
"352",2009,42,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"353",2005,23,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"354",2009,58,"2. Married","1. White","2. HS Grad","1. <=Good",0
"355",2005,43,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"356",2003,33,"4. Divorced","1. White","5. Advanced Degree","2. >=Very Good",1
"357",2004,56,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"358",2006,37,"2. Married","2. Black","4. College Grad","2. >=Very Good",1
"359",2009,41,"4. Divorced","1. White","5. Advanced Degree","2. >=Very Good",0
"360",2007,33,"2. Married","1. White","3. Some College","2. >=Very Good",0
"361",2007,50,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"362",2003,43,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"363",2004,53,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"364",2005,37,"3. Widowed","1. White","3. Some College","2. >=Very Good",0
"365",2006,20,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"366",2003,26,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"367",2003,29,"4. Divorced","1. White","4. College Grad","2. >=Very Good",0
"368",2008,57,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"369",2009,47,"2. Married","1. White","3. Some College","2. >=Very Good",1
"370",2004,54,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"371",2007,38,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"372",2006,23,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"373",2004,31,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"374",2004,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"375",2003,33,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
